,sample_id,ancestry,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,label
12,TGG_27,nfe,-0.0138943,-0.0283838,0.0312508,-0.0107731,0.00923149,-0.0364422,0.0102859,-0.0251157,0.0125527,-0.00156104,Inferred
13,TGG_28,fin,-0.0151397,-0.0246939,0.0424065,-0.0210193,-0.00599248,-0.0047157,-0.007585,0.050219,-0.00815819,0.0149508,Inferred
14,TGG_32,nfe,-0.0144387,-0.0263829,0.0417965,-0.0168648,-0.00393331,-0.00118854,-0.00528378,0.0389006,-0.0107776,0.0121047,Inferred
15,TGG_33,nfe,-0.0125435,-0.0310419,0.00523048,0.00367709,0.0264595,0.0207808,-0.000410717,-0.00646186,0.000764232,-0.00882059,Inferred
16,TGG_36,nfe,-0.0128781,-0.031344,0.00586747,0.00370263,0.027228,0.0197292,-0.00118825,-0.00223136,0.000178964,-0.00818795,Inferred
17,TGG_37,nfe,-0.0122291,-0.0317356,0.00584293,0.000929878,0.0292996,0.0217746,0.00137873,-0.00891957,-0.0026633,-0.00891813,Inferred
18,TGG_38,nfe,-0.0142147,-0.0271248,0.0480319,-0.0192868,0.00261104,-0.0975683,0.0118532,-0.0382171,0.00446283,-0.0415037,Inferred
19,TGG_40,nfe,-0.0137115,-0.0280553,0.0359545,-0.0134335,0.00385028,-0.0431848,0.00993647,-0.0256787,0.00953225,-0.00541463,Inferred
20,TGG_42,nfe,-0.0146386,-0.0252442,0.0365197,-0.0183205,-0.00205036,-0.00256745,-0.00814019,0.0421572,-0.0103431,0.0189661,Inferred
21,TGG_50,nfe,-0.0124151,-0.0304024,0.00624038,0.00318079,0.028318,0.019845,-0.00071537,-0.00867491,-0.00309929,-0.00955158,Inferred
22,TGG_54,nfe,-0.0145585,-0.0267511,0.0421516,-0.0210155,-0.00783184,-0.00664379,-0.00627678,0.0468058,-0.0114771,0.0164672,Inferred
23,TGG_57,nfe,-0.0139441,-0.0284529,0.033677,-0.0123043,0.0125099,-0.0752168,0.00874725,-0.0323424,0.00187744,-0.0388664,Inferred
24,TGG_65,fin,-0.0128021,-0.0283136,0.00609683,0.00603967,0.0245913,0.0149553,-0.0014871,0.0136077,0.000138907,-0.00510153,Inferred
25,TGG_68,fin,-0.0133184,-0.0254235,0.0088105,0.00255772,0.0250888,0.0108792,7.53726e-05,0.0115182,0.000938136,0.00957667,Inferred
26,TGG_70,fin,-0.0131552,-0.0285251,0.00618944,0.00554487,0.026323,0.0141017,-0.00107507,0.00879465,0.00502485,-0.000695896,Inferred
27,TGG_72,nfe,-0.0127474,-0.029939,0.00429832,0.00476278,0.0271289,0.0193083,0.00148315,-0.0100923,0.000487676,-0.0118718,Inferred
28,TGG_75,nfe,-0.0131143,-0.031148,0.0068155,0.00372631,0.0306839,0.0198865,0.000745132,-0.0119917,0.000131484,-0.00759903,Inferred
29,TGG_81,nfe,-0.0139237,-0.0282549,0.0352583,-0.00911955,0.00714298,-0.0505693,0.00665006,-0.0196186,0.00744558,-0.00448034,Inferred
30,TGG_86,nfe,-0.0136925,-0.0276763,0.0257581,-0.00935375,0.00811153,0.0219036,-0.00236665,0.0228693,0.00407551,0.0271821,Inferred
31,TGG_91,nfe,-0.0143949,-0.0253591,0.0386802,-0.0169411,-0.0030802,0.00541052,-0.00406379,0.0448885,-0.00628953,0.0207363,Inferred
32,TGG_93,nfe,-0.0145376,-0.0258035,0.0355307,-0.0125824,-0.00180607,0.0169334,-0.00437373,0.0339489,-0.00323006,0.0264069,Inferred
33,TGG_99,fin,-0.0136349,-0.025945,0.00279065,0.003183,0.0265052,0.0145982,-0.00102283,0.0113414,-0.00306546,-0.00767719,Inferred
34,TGG_100,fin,-0.0131927,-0.0266075,0.00279257,0.00353844,0.0254176,0.0123727,-0.00246575,0.0134408,-0.0039811,-0.0057166,Inferred
35,TGG_102,fin,-0.0142904,-0.0228655,0.0255837,-0.00732432,0.0111756,-0.051714,0.0101003,-0.0167493,0.00473123,-0.0114797,Inferred
36,TGG_107,fin,-0.0149689,-0.0217358,0.0382861,-0.0152794,0.00653604,-0.0256705,-0.0112574,0.0629136,-0.0192579,0.00789703,Inferred
37,TGG_112,fin,-0.0148835,-0.020264,0.0345497,-0.0137945,0.00376393,-0.0303004,-0.00582919,0.0551965,-0.0172812,-0.00905178,Inferred
38,TGG_113,fin,-0.0133542,-0.0248844,0.00787595,-0.00090256,0.0178646,0.0225577,0.00160085,0.0159515,0.00286541,0.011642,Inferred
39,TGG_121,fin,-0.0151043,-0.01892,0.0377195,-0.0180605,-0.0075755,-0.0148389,-0.00826352,0.0613002,-0.019049,0.0154114,Inferred
40,TGG_122,fin,-0.0150372,-0.0228923,0.0408237,-0.0142424,-0.00121748,-0.0164204,-0.00765599,0.0661085,-0.0156537,0.0150747,Inferred
41,TGG_126,fin,-0.0145432,-0.0222531,0.0360823,-0.0151111,0.00400103,-0.0197363,-0.00981205,0.068143,-0.016811,0.0145785,Inferred
42,TGG_128,fin,-0.0151118,-0.0212749,0.0332747,-0.0108808,0.00982735,-0.019485,-0.00664098,0.0606242,-0.0166052,0.00805555,Inferred
43,TGG_129,fin,-0.0152112,-0.0235267,0.0366822,-0.0137998,0.00662679,-0.0252571,-0.00834712,0.0610789,-0.0144369,0.00829704,Inferred
44,TGG_135,fin,-0.0140446,-0.0226085,0.0234737,-0.00888963,0.00991265,0.0169486,-0.00741396,0.0411522,0.000349118,0.0323012,Inferred
45,TGG_140,fin,-0.014828,-0.0214728,0.0395578,-0.0153615,-0.00422654,-0.00564896,-0.00826962,0.0522947,-0.011014,0.0229083,Inferred
46,TGG_148,nfe,-0.012981,-0.0285878,0.00450548,0.00347524,0.0280081,0.0160595,0.000405969,0.00185654,-0.000869968,-0.00753238,Inferred
47,TGG_153,fin,-0.0135006,-0.0257815,0.00537444,0.00670536,0.0286086,0.0129304,-0.00127031,0.0129451,-0.00656845,-0.00586372,Inferred
48,TGG_154,fin,-0.0129009,-0.0285935,0.00438186,0.004228,0.0264081,0.0147692,-0.00348963,0.0070075,-0.00326477,-0.00699703,Inferred
49,TGG_155,fin,-0.014437,-0.0216977,0.0261673,-0.00868769,0.00753154,-0.0283621,0.00827799,0.00402716,0.00737634,0.0222429,Inferred
50,TGG_156,fin,-0.013055,-0.0272061,0.00570227,0.00456285,0.0290945,0.0162617,-0.00358754,0.00764613,-0.00457418,-0.00888084,Inferred
51,TGG_157,fin,-0.0132631,-0.0266287,0.00571336,0.0052678,0.0291763,0.013467,-0.000350401,0.0105039,-0.00638782,-0.00426067,Inferred
52,TGG_158,fin,-0.0129078,-0.0274025,0.00470934,0.00370613,0.0269288,0.0145375,-0.000427965,0.00909231,-0.00376417,-0.00763778,Inferred
53,TGG_159,fin,-0.0146193,-0.0227274,0.0306829,-0.00986651,0.00325745,-0.0618728,0.00918235,-0.0150547,0.00458319,-0.0134176,Inferred
54,TGG_161,fin,-0.0146346,-0.0231885,0.0267052,-0.00715363,0.0100297,-0.0548151,0.010636,-0.0096312,0.00271302,-0.00701309,Inferred
55,TGG_163,fin,-0.0147742,-0.0201442,0.0394595,-0.0163767,0.00131303,-0.0272679,-0.00986865,0.069386,-0.0215584,0.00923147,Inferred
56,TGG_166,fin,-0.0153391,-0.020542,0.0424745,-0.0174185,-0.00392599,-0.0128037,-0.00773189,0.0607498,-0.012764,0.0158796,Inferred
57,TGG_169,fin,-0.0152821,-0.0214634,0.0397646,-0.0175686,-0.00629053,-0.0106679,-0.00795238,0.0577682,-0.0127197,0.0139846,Inferred
58,TGG_171,fin,-0.0151537,-0.019572,0.0452481,-0.0185985,-0.00726217,-0.0118513,-0.00829444,0.0570578,-0.018001,0.0126275,Inferred
59,TGG_177,eas,-0.0183769,0.0409941,0.0216402,-0.0103639,0.00983302,-0.0208925,-0.0109013,0.0465809,-0.0115832,0.0121281,Inferred
60,TGG_178,eas,-0.0187996,0.0418143,0.0228431,-0.0120553,0.00920088,-0.0254362,-0.00811815,0.0452362,-0.013149,0.00843892,Inferred
61,TGG_179,eas,-0.0166796,0.0373662,-0.0074745,0.00505232,0.0269192,0.00564733,0.023635,-0.0253724,0.0168244,0.0422229,Inferred
62,TGG_181,eas,-0.0171652,0.0369672,0.00011349,0.00332939,0.0275063,0.00368656,-0.00294066,0.0243266,-0.00110682,0.0165086,Inferred
63,TGG_183,eas,-0.0179649,0.038258,0.00978952,-0.00307061,0.0158221,-0.012419,-0.00784136,0.0386621,-0.00639216,0.0104968,Inferred
64,TGG_184,eas,-0.0168919,0.0358589,-0.00669829,0.00746293,0.0270093,0.00563814,0.0206364,-0.0173255,0.0124764,0.0443973,Inferred
65,TGG_185,eas,-0.0166929,0.035554,-0.00830729,0.00837873,0.0277325,0.00412277,0.0228972,-0.0223647,0.0171973,0.0428593,Inferred
66,TGG_186,eas,-0.01686,0.0391779,-0.00676171,0.00480026,0.021977,0.00780038,0.025335,-0.0260996,0.021294,0.0490974,Inferred
67,TGG_189,eas,-0.0177167,0.0407443,0.0177192,-0.00582022,0.0200005,-0.0388327,-0.00693452,0.0352581,-0.0141638,-0.0189959,Inferred
68,TGG_191,eas,-0.017252,0.0378199,0.00433625,0.0020879,0.0211524,0.00552743,-0.0034373,0.0287859,-0.00199051,0.0244802,Inferred
69,TGG_193,eas,-0.017077,0.0358264,-0.00940319,0.00677412,0.0245322,0.00162496,0.0221949,-0.0207364,0.0163247,0.0454423,Inferred
70,TGG_194,eas,-0.018387,0.0412743,0.0171313,-0.00479198,0.00741612,-0.00175787,-0.00823846,0.0393834,-0.00445686,0.0249975,Inferred
71,TGG_195,eas,-0.0187261,0.0405463,0.0174845,-0.00713515,0.00509535,-0.0087397,-0.00821525,0.0381466,-0.00506615,0.0217791,Inferred
72,TGG_196,eas,-0.0168581,0.0364665,-0.00887586,0.00762745,0.0215997,0.000461105,0.0225904,-0.0265424,0.0165943,0.0494652,Inferred
73,TGG_197,eas,-0.0169276,0.0368436,-0.00765635,0.00535615,0.0293102,0.0045908,0.0209582,-0.0273901,0.0158829,0.0444322,Inferred
74,TGG_198,eas,-0.0166571,0.0363353,-0.00820221,0.00840013,0.0264146,0.00117718,0.0248885,-0.0286349,0.0184671,0.0499856,Inferred
75,TGG_203,eas,-0.0179543,0.0390916,0.00503311,-0.00018476,0.0192299,0.00388983,-0.00503625,0.0289371,-0.00102752,0.0218418,Inferred
76,TGG_205,eas,-0.0167418,0.0374513,-0.009633,0.00434807,0.025871,0.00483685,0.0216396,-0.0287957,0.0179065,0.0387872,Inferred
77,TGG_206,amr,-0.0066257,-0.0173048,0.0085296,0.0163584,-0.00289646,0.0127968,0.0231741,-0.0287225,0.00816353,0.0475074,Inferred
78,TGG_207,eas,-0.0183118,0.0410825,0.0212757,-0.012275,0.00580749,-0.0044597,-0.00368065,0.0328418,-0.00669993,0.0219296,Inferred
79,TGG_208,eas,-0.0167029,0.0360492,-0.00880642,0.00648269,0.0251118,0.00283473,0.0216129,-0.0225205,0.0148186,0.0424769,Inferred
80,TGG_209,eas,-0.0163839,0.0355972,-0.0162593,0.0125113,0.0422159,0.00492923,-0.00152494,-0.0056824,0.00173413,-0.00584053,Inferred
81,TGG_210,eas,-0.0166899,0.0340355,-0.0143244,0.013785,0.0432744,0.00578291,0.00193296,-0.00736633,0.00160459,-0.0101526,Inferred
82,TGG_211,eas,-0.0172257,0.0363267,-0.00766628,0.00919298,0.0293449,0.00143455,0.0246781,-0.0230462,0.0187528,0.0474758,Inferred
83,TGG_212,eas,-0.0176749,0.0365499,0.0141559,-0.00491862,0.0193089,-0.0369704,-0.00871665,0.0484729,-0.0141618,0.000800163,Inferred
84,TGG_213,eas,-0.0163223,0.0367501,-0.00952238,0.00786772,0.0263329,0.00177395,0.0231755,-0.0236704,0.0177675,0.0431237,Inferred
85,TGG_214,eas,-0.0181515,0.0383309,0.0194652,-0.00764885,0.00855298,-0.0187507,-0.00632723,0.0416524,-0.00820986,0.0060539,Inferred
86,TGG_215,eas,-0.0186006,0.0398203,0.0209011,-0.0123707,0.00812978,-0.0234461,-0.0074574,0.0505833,-0.0106632,0.0102446,Inferred
87,TGG_216,eas,-0.0163182,0.0360221,-0.00676757,0.00858728,0.0277529,0.00177136,0.0217469,-0.0242276,0.015851,0.0465761,Inferred
88,TGG_217,eas,-0.016633,0.0354343,-0.0158075,0.0124493,0.0411488,0.00709512,0.000309037,-0.00641689,-0.000352639,-0.00446934,Inferred
89,TGG_220,eas,-0.0164133,0.0347544,-0.0139489,0.0113579,0.0362951,0.00170699,0.0177209,-0.0131308,0.0107984,0.0329846,Inferred
90,TGG_222,eas,-0.0187135,0.041427,0.0220979,-0.0113327,0.0068084,-0.0254764,-0.00824178,0.0472584,-0.011427,0.0052176,Inferred
91,TGG_223,eas,-0.0176807,0.0368962,0.013356,-0.00139211,0.0214209,-0.0711942,0.0110199,-0.0344382,0.00959879,-0.00892029,Inferred
92,TGG_227,eas,-0.018239,0.0397834,0.0239732,-0.011404,0.00789356,-0.0246574,-0.00818302,0.0505464,-0.0127395,0.00814599,Inferred
93,TGG_231,eas,-0.0170556,0.0359067,0.00756181,-0.00230459,0.0216575,-0.0646407,0.012303,-0.0320175,0.00525557,-0.00957264,Inferred
94,TGG_234,eas,-0.0160949,0.0336635,-0.0146709,0.00969507,0.0337729,-0.000416394,0.0212805,-0.0170992,0.0100659,0.0332153,Inferred
95,TGG_236,eas,-0.0166354,0.0363041,-0.00840587,0.00621805,0.0262818,0.000483933,0.0201145,-0.0235364,0.01761,0.0407023,Inferred
96,TGG_237,amr,-0.0046497,-0.018579,0.00314179,0.0188115,0.00854011,0.0106045,0.00126026,-0.00484471,0.00211911,-0.00395205,Inferred
97,TGG_239,amr,-0.00876128,-0.0175373,0.00760779,0.0136913,-0.00103727,0.013378,0.0196724,-0.0258725,0.014796,0.0450823,Inferred
98,TGG_242,eas,-0.0163619,0.0369457,-0.00852656,0.00459792,0.0225941,0.00610826,0.0234116,-0.0291285,0.0174031,0.0433003,Inferred
99,TGG_244,eas,-0.0174484,0.0373845,0.00479312,0.000645107,0.0180005,0.00192119,-0.00704182,0.0257225,-0.00172609,0.0180938,Inferred
100,TGG_247,eas,-0.0170304,0.0375958,-0.00862783,0.00620277,0.0250813,0.00463839,0.023471,-0.0290746,0.0155636,0.0443413,Inferred
101,TGG_253,eas,-0.0178573,0.0391715,0.0131941,-0.00467819,0.0119944,-0.0055688,-0.00631505,0.0285957,-0.00767847,0.0155149,Inferred
102,TGG_254,eas,-0.0180333,0.038361,0.0186377,-0.00743094,0.0134928,-0.0361053,-0.00592918,0.0303253,-0.0125516,-0.0255204,Inferred
103,TGG_257,eas,-0.0178931,0.0397518,0.0186934,-0.0111248,0.0142533,-0.0362927,-0.00721279,0.0464587,-0.0119613,0.00151152,Inferred
104,TGG_259,eas,-0.018521,0.0402452,0.0184803,-0.00709578,0.011652,-0.0362181,-0.00686148,0.0354818,-0.0120844,-0.0164031,Inferred
105,TGG_260,eas,-0.0180142,0.0399761,0.0188633,-0.00951458,0.0143785,-0.0378839,-0.00638434,0.033692,-0.0137262,-0.024012,Inferred
106,TGG_261,eas,-0.0181634,0.0385299,0.0059552,-0.0036231,0.0158766,-0.00227207,-0.0046245,0.0241108,-0.00232419,0.0131572,Inferred
107,TGG_265,eas,-0.0164632,0.035196,-0.0148926,0.00941646,0.0323372,0.00312567,0.0202382,-0.0206391,0.0118039,0.0289546,Inferred
108,TGG_269,eas,-0.017762,0.0404579,0.0107806,-0.0101521,0.00171258,0.0385858,0.00433689,-0.0159347,0.0104778,0.0224093,Inferred
109,TGG_276,eas,-0.0193284,0.0446719,0.0313274,-0.0241451,-0.0236555,0.0317152,0.000454234,-0.0183108,9.08807e-05,-0.00867952,Inferred
110,TGG_278,eas,-0.019184,0.0448267,0.0321325,-0.0259123,-0.0324059,0.0376238,3.04824e-05,-0.0238885,0.000186413,-0.00599679,Inferred
111,TGG_279,eas,-0.0168535,0.0391603,0.00225214,-0.00470977,0.00770015,0.0335798,0.0091761,-0.0212129,0.011804,0.016814,Inferred
112,TGG_280,eas,-0.0175099,0.0405927,0.0113682,-0.0118127,-0.00164135,0.0382333,0.00377246,-0.0164074,0.00936421,0.0189349,Inferred
113,TGG_282,amr,-0.00266073,-0.0126526,0.0263394,0.00788175,-0.0123623,0.0053807,-0.00801611,0.0329628,-0.0106957,0.0203532,Inferred
114,TGG_284,amr,-0.00935905,-0.0209178,0.0132586,0.0138095,0.00239168,0.0157032,0.0244971,-0.0322604,0.0181714,0.0471011,Inferred
115,TGG_289,amr,-0.00989683,-0.0194133,0.0192974,0.0109769,-0.0101217,0.0178954,-0.00380719,0.0216181,-0.00199588,0.0265135,Inferred
116,TGG_291,amr,-0.00919992,-0.0229474,0.0330809,-0.00557193,0.000651786,-0.0420958,0.00725878,-0.0258422,0.00995815,0.000543819,Inferred
117,TGG_294,amr,-0.00859832,-0.0184086,0.0213666,0.0100603,-0.00927415,0.0199768,-0.00369379,0.0263626,-0.00236124,0.0303568,Inferred
118,TGG_295,amr,-0.00641782,-0.0172814,0.00967478,0.0162361,-0.000886823,0.0127944,0.0242562,-0.0258392,0.0153888,0.0511736,Inferred
119,TGG_297,amr,-0.00520977,-0.0194066,0.000504595,0.0179453,0.0103311,0.0139821,-0.0060705,-0.00642449,0.00109598,-0.0111028,Inferred
120,TGG_299,amr,-0.00716521,-0.0185713,0.025373,0.00645172,-0.00163452,-0.0419171,0.0067787,-0.0215206,0.00759708,0.00479121,Inferred
121,TGG_300,amr,-0.0076152,-0.0195091,0.0106131,0.0157149,-0.000772878,0.0148019,0.0293997,-0.0327617,0.0165753,0.0477381,Inferred
122,TGG_301,amr,-0.00837294,-0.0193219,0.00952454,0.0124528,0.00284556,0.0134473,0.025753,-0.0284986,0.0106097,0.0436068,Inferred
123,TGG_303,afr,0.0195658,-0.0014698,0.0179024,0.000240845,-0.0172886,0.0118134,-0.00693442,0.0441709,0.00661362,0.0341745,Inferred
124,TGG_308,amr,-0.0080612,-0.0173812,-0.0026527,0.0298913,-0.000158982,0.00872805,-0.00284624,-0.006097,-0.00367018,-0.011234,Inferred
125,TGG_309,amr,-0.00973059,-0.0193257,0.00138744,0.0269492,0.00235075,0.0182898,-0.000795483,-0.00763884,0.000461668,-0.00875656,Inferred
126,TGG_313,amr,-0.0087406,-0.0169757,0.000679182,0.0355799,0.00324617,0.0120548,0.000561097,-0.0100056,-0.00380394,-0.0151902,Inferred
127,TGG_314,amr,-0.0126407,-0.0152686,-0.00248892,0.0438868,-0.00686844,0.00944652,-0.000924648,-0.00376578,-0.00238445,-0.00837516,Inferred
128,TGG_315,amr,-0.00467242,-0.0115025,-0.00169925,0.0359725,-0.002299,0.0131672,0.000374878,-0.0051794,-0.000743358,-0.0125593,Inferred
129,TGG_316,amr,-0.0109104,-0.0201404,0.000168243,0.0322481,0.00151007,0.0162587,3.81794e-05,-0.00904004,-0.00619219,-0.0066699,Inferred
130,TGG_319,amr,-0.010275,-0.0105195,-0.00263048,0.0517472,-0.00894049,0.00802784,-0.00557729,-0.00519123,-0.00338333,-0.00738486,Inferred
131,TGG_321,amr,-0.00753459,-0.0200589,-0.00102495,0.0216475,0.00555366,0.0118173,-0.0010775,-0.00658163,-0.00469479,-0.010782,Inferred
132,TGG_323,amr,-0.0082076,-0.0160779,0.0175903,0.0105956,-0.0092849,0.0152516,-0.00429658,0.0269717,-0.00335104,0.0283003,Inferred
133,TGG_327,amr,-0.00392039,-0.0127406,0.0249218,0.0123787,-0.0134005,-0.0461249,0.0068762,-0.0208478,0.00236439,-0.0024221,Inferred
134,TGG_329,amr,-0.010308,-0.0252755,0.00380293,0.0149631,0.0189371,0.0177045,-0.000882536,-0.00626398,0.00497564,-0.0137898,Inferred
135,TGG_332,amr,-0.0125757,-0.0190338,0.00127123,0.0334433,0.00461473,0.0116241,0.00166703,-0.00771043,0.00292696,-0.00362152,Inferred
136,TGG_333,amr,-0.00875368,-0.0144397,0.00725898,0.0252883,-0.00985841,0.0102994,0.0220683,-0.0261915,0.00968501,0.0410788,Inferred
137,TGG_339,amr,-0.0119628,-0.0299541,0.0059853,0.0130248,0.0233206,0.0198719,-0.00232176,-0.0151964,-0.00353416,-0.013485,Inferred
138,TGG_340,amr,-0.0135591,-0.0142619,-0.00292899,0.0445584,-0.0036841,0.00764515,-0.00126887,-0.0023313,-0.00444513,-0.00659019,Inferred
139,TGG_349,amr,-0.00590728,-0.0228876,0.00325097,0.0161143,0.0150032,0.0193754,-0.00198608,-0.00564995,0.0030462,-0.013076,Inferred
140,TGG_351,amr,-0.00604562,-0.0227821,0.00307517,0.0172098,0.0142455,0.0168232,-0.00113848,-0.00835917,0.00082877,-0.0113147,Inferred
141,TGG_363,amr,-0.0103337,-0.0173779,0.000834117,0.0342852,0.00212918,0.0147258,0.00207464,-0.00989936,0.00120683,-0.0138114,Inferred
142,TGG_365,amr,-0.0114587,-0.0165762,0.014125,0.0259179,-0.0102208,-0.0253401,0.010234,-0.0284479,0.00546522,-0.00144226,Inferred
143,TGG_367,amr,-0.00693691,-0.0173607,0.003593,0.0241743,-0.000924266,0.0190872,-0.000807905,-0.000415739,0.00500753,0.00416107,Inferred
144,TGG_375,amr,-0.0126485,-0.010381,0.0250649,0.0288301,-0.024872,-0.0680086,0.0129009,-0.0363374,0.00672984,-0.0162336,Inferred
145,TGG_378,amr,-0.0116078,-0.019442,0.0277856,0.00514154,-0.0140398,0.0133266,-0.00485589,0.0314622,-0.00222079,0.021895,Inferred
146,TGG_380,amr,-0.0046785,-0.0158423,0.00122246,0.0237912,0.00437227,0.0183695,-0.00237366,0.000308543,0.00579282,-0.01628,Inferred
147,TGG_384,amr,-0.00534793,-0.0185607,0.000350548,0.0222672,0.00943231,0.0137799,-0.0052426,-0.00360044,-0.000339721,-0.0140952,Inferred
148,TGG_385,amr,-0.00391427,-0.0155082,-0.000324491,0.0221016,0.00288298,0.0137482,-0.00204443,0.00371362,0.000961055,-0.00945281,Inferred
149,TGG_391,amr,-0.0128405,-0.0236987,0.0198396,0.00757912,0.000500727,-0.0258684,0.011953,-0.0274235,0.0109785,0.00399911,Inferred
150,TGG_396,amr,-0.007599,-0.0132899,0.00380181,0.0351422,-0.00948812,0.0202116,0.00401608,0.00236595,0.0048082,0.00159373,Inferred
151,TGG_397,amr,-0.00952727,-0.0179707,-0.000463156,0.0295741,0.00207715,0.0144665,-0.00347474,-0.00453832,-0.00253964,-0.0150435,Inferred
152,TGG_401,amr,-0.00543285,-0.0078159,0.0128516,0.0366493,-0.0243512,-0.0341807,0.00698013,-0.0241275,0.000454759,0.0147243,Inferred
153,TGG_402,amr,-0.00149183,-0.00517051,0.0144275,0.0310469,-0.024048,-0.0397966,0.00882144,-0.0184843,0.0131295,0.00900404,Inferred
154,TGG_403,amr,-0.00497361,-0.00938388,0.0164457,0.031851,-0.0193199,-0.0360153,0.0121922,-0.0195408,0.00726231,0.00280474,Inferred
155,TGG_404,amr,-0.0122892,-0.0220159,0.0193748,0.0154899,0.00130423,-0.0236528,0.0101424,-0.0332037,0.00709561,0.00728796,Inferred
156,TGG_405,amr,-0.0112431,-0.022133,0.001521,0.0231439,0.0101324,0.0163912,0.0010311,-0.00800261,-0.000521191,-0.0185366,Inferred
157,TGG_406,amr,-0.0124443,-0.0246008,0.00344695,0.022199,0.0144397,0.0159118,0.00143476,-0.00559369,-0.00184606,-0.0119153,Inferred
158,TGG_411,amr,-0.0119881,-0.021218,0.0172837,0.00891372,0.00390367,-0.0240156,0.0123776,-0.0328392,0.00788647,0.0114508,Inferred
159,TGG_416,amr,-0.0113625,-0.0144709,0.000101124,0.0436318,-0.00492589,0.0104079,-0.00417588,0.00161401,0.00122487,-0.0108075,Inferred
160,TGG_417,amr,-0.011211,-0.0156135,-0.000596409,0.0411193,-0.00462136,0.00911505,-0.00259472,0.000160749,0.00284599,-0.00663357,Inferred
161,TGG_419,nfe,-0.011524,-0.0304612,0.00423464,0.00207475,0.0262058,0.0191316,0.00167519,-0.0129544,-0.000451824,-0.012367,Inferred
162,TGG_420,nfe,-0.0115679,-0.030941,0.00506124,0.00174038,0.0281135,0.0212026,0.000143409,-0.0157878,0.00044694,-0.00826433,Inferred
163,TGG_422,nfe,-0.0139227,-0.0208956,0.044869,-0.0238324,-0.0255454,0.0441591,0.00562723,-0.0296203,0.00437175,0.000376837,Inferred
164,TGG_423,nfe,-0.0138971,-0.0204858,0.0485548,-0.0289857,-0.0347297,0.0442461,0.00883124,-0.0333177,0.00304065,-0.0076357,Inferred
165,TGG_424,nfe,-0.0131149,-0.0289097,0.0236793,-0.00601875,0.0138352,0.00449396,0.00352746,-0.00660397,0.0081721,0.0145936,Inferred
166,TGG_426,nfe,-0.0133162,-0.0295928,0.0266413,-0.00691131,0.0123364,0.00591475,0.00301289,-0.0061722,0.00979595,0.0167065,Inferred
167,TGG_433,nfe,-0.0133492,-0.0194099,0.0505487,-0.0287482,-0.0349838,0.0515581,0.00355023,-0.0245247,3.98945e-05,0.00138333,Inferred
168,TGG_441,amr,-0.0158467,0.00651421,-0.00928035,0.115837,-0.0589925,-0.00602471,-0.00819427,0.00861108,-0.00891617,-0.010792,Inferred
169,TGG_443,amr,-0.0168897,0.00575709,0.0514357,0.0345231,-0.101757,0.0183695,-0.000297781,-0.033327,-0.0120804,-0.0509451,Inferred
170,TGG_445,sas,-0.01154,-0.0158515,-0.0275674,-0.0146279,-0.0088741,-0.00096154,-0.00382007,0.00282214,-0.000782252,-0.00914445,Inferred
171,TGG_450,nfe,-0.0116506,-0.0290859,0.00478085,0.00296829,0.0263165,0.021462,-0.00225266,-0.0133393,-0.00353083,-0.00741802,Inferred
