sample_id	ancestry
TGG_493	NA
TGG_494	NA
TGG_495	nfe
TGG_496	NA
TGG_497	nfe
TGG_498	nfe
TGG_499	nfe
TGG_500	nfe
TGG_501	nfe
TGG_502	eas
TGG_503	eas
TGG_504	eas
TGG_505	eas
TGG_506	NA
TGG_507	eas
TGG_508	eas
TGG_509	eas
TGG_510	eas
TGG_511	eas
TGG_512	eas
TGG_513	eas
TGG_514	eas
TGG_515	eas
TGG_516	eas
TGG_517	eas
TGG_518	eas
TGG_519	NA
TGG_520	eas
TGG_521	NA
TGG_522	eas
TGG_523	eas
TGG_524	eas
TGG_525	eas
TGG_526	NA
TGG_527	eas
TGG_528	eas
TGG_529	NA
TGG_530	eas
TGG_531	eas
TGG_532	NA
TGG_533	NA
TGG_534	eas
TGG_535	eas
TGG_536	eas
TGG_537	eas
TGG_538	NA
TGG_539	eas
TGG_540	NA
TGG_541	NA
TGG_542	eas
TGG_543	eas
TGG_544	eas
TGG_545	eas
TGG_546	NA
TGG_547	eas
TGG_548	eas
TGG_549	eas
TGG_550	NA
TGG_551	afr
TGG_552	afr
TGG_553	afr
TGG_554	NA
TGG_555	amr
TGG_556	afr
TGG_557	afr
TGG_558	amr
TGG_559	NA
TGG_560	amr
TGG_561	NA
TGG_562	amr
TGG_563	NA
TGG_564	amr
TGG_565	NA
TGG_566	NA
TGG_567	NA
TGG_568	afr
TGG_569	amr
TGG_570	amr
TGG_571	amr
TGG_572	amr
TGG_573	NA
TGG_574	amr
TGG_575	NA
TGG_576	NA
TGG_577	NA
TGG_578	NA
TGG_579	afr
TGG_580	afr
TGG_581	NA
TGG_582	amr
TGG_583	amr
TGG_584	NA
TGG_585	afr
TGG_586	NA
TGG_587	afr
TGG_588	eas
TGG_589	eas
TGG_590	eas
TGG_591	NA
TGG_592	eas
TGG_593	NA
TGG_594	eas
TGG_595	NA
TGG_596	eas
TGG_597	eas
TGG_598	afr
TGG_599	NA
TGG_600	NA
TGG_601	eas
TGG_602	NA
TGG_603	eas
TGG_604	eas
TGG_605	eas
TGG_606	eas
TGG_607	eas
TGG_608	NA
TGG_609	eas
TGG_610	eas
TGG_611	eas
TGG_612	eas
TGG_613	eas
TGG_614	NA
TGG_615	amr
TGG_616	afr
TGG_617	amr
TGG_618	NA
TGG_619	afr
TGG_620	afr
TGG_621	NA
TGG_622	eas
TGG_623	eas
TGG_624	eas
TGG_625	NA
TGG_626	eas
TGG_627	eas
TGG_628	NA
TGG_629	eas
TGG_630	NA
TGG_631	eas
TGG_632	eas
TGG_633	afr
TGG_634	afr
TGG_635	NA
TGG_636	NA
TGG_637	NA
TGG_638	eas
TGG_639	eas
TGG_640	NA
TGG_641	NA
TGG_642	NA
TGG_643	NA
TGG_644	NA
TGG_645	eas
TGG_646	eas
TGG_647	eas
TGG_648	eas
TGG_649	eas
TGG_650	eas
TGG_651	eas
TGG_652	NA
TGG_653	eas
TGG_654	NA
TGG_655	NA
TGG_656	eas
TGG_657	nfe
TGG_658	nfe
TGG_659	nfe
TGG_660	NA
TGG_661	NA
TGG_662	NA
TGG_663	nfe
TGG_664	nfe
TGG_665	nfe
TGG_666	nfe
TGG_667	eas
TGG_668	amr
TGG_669	afr
TGG_670	afr
TGG_671	amr
TGG_672	amr
TGG_673	amr
TGG_674	amr
TGG_675	amr
TGG_676	amr
TGG_677	amr
TGG_678	NA
TGG_679	afr
TGG_680	afr
TGG_681	afr
TGG_682	NA
TGG_683	NA
TGG_684	amr
TGG_685	NA
TGG_686	NA
TGG_687	amr
TGG_688	amr
TGG_689	afr
TGG_690	NA
TGG_691	afr
TGG_692	NA
TGG_693	afr
TGG_694	NA
TGG_695	afr
TGG_696	NA
TGG_697	afr
TGG_698	afr
TGG_699	afr
TGG_700	afr
TGG_701	afr
TGG_702	NA
TGG_703	afr
TGG_704	NA
TGG_705	NA
TGG_706	NA
TGG_707	amr
TGG_708	eas
TGG_709	eas
TGG_710	NA
TGG_711	eas
TGG_712	eas
TGG_713	NA
TGG_714	eas
TGG_715	NA
TGG_716	eas
TGG_717	eas
TGG_718	NA
TGG_719	eas
TGG_720	eas
TGG_721	eas
TGG_722	eas
TGG_723	eas
TGG_724	NA
TGG_725	eas
TGG_726	eas
TGG_727	eas
TGG_728	eas
TGG_729	eas
TGG_730	eas
TGG_731	eas
TGG_732	NA
TGG_733	eas
TGG_734	eas
TGG_735	eas
TGG_736	NA
TGG_737	eas
TGG_738	eas
TGG_739	eas
TGG_740	NA
TGG_741	eas
TGG_742	NA
TGG_743	afr
TGG_744	afr
TGG_745	NA
TGG_746	afr
TGG_747	afr
TGG_748	NA
TGG_749	afr
TGG_750	afr
TGG_751	afr
TGG_752	afr
TGG_753	afr
TGG_754	afr
TGG_755	NA
TGG_756	afr
TGG_757	NA
TGG_758	afr
TGG_759	afr
TGG_760	afr
TGG_761	afr
TGG_762	NA
TGG_763	afr
TGG_764	afr
TGG_765	NA
TGG_766	afr
TGG_767	afr
TGG_768	sas
TGG_769	afr
TGG_770	afr
TGG_771	afr
TGG_772	NA
TGG_773	afr
TGG_774	afr
TGG_775	afr
TGG_776	NA
TGG_777	eas
TGG_778	NA
TGG_779	eas
TGG_780	afr
TGG_781	afr
TGG_782	afr
TGG_783	afr
TGG_784	afr
TGG_785	afr
TGG_786	afr
TGG_787	NA
TGG_788	afr
TGG_789	afr
TGG_790	afr
TGG_791	afr
TGG_792	afr
TGG_793	NA
TGG_794	afr
TGG_795	afr
TGG_796	afr
TGG_797	afr
TGG_798	NA
TGG_799	afr
TGG_800	afr
TGG_801	afr
TGG_802	afr
TGG_803	afr
TGG_804	afr
TGG_805	NA
TGG_806	NA
TGG_807	sas
TGG_808	sas
TGG_809	afr
TGG_810	NA
TGG_811	afr
TGG_812	NA
TGG_813	afr
TGG_814	afr
TGG_815	afr
TGG_816	afr
TGG_817	afr
TGG_818	afr
TGG_819	afr
TGG_820	NA
TGG_821	afr
TGG_822	afr
TGG_823	afr
TGG_824	afr
TGG_825	sas
TGG_826	sas
TGG_827	sas
TGG_828	sas
TGG_829	sas
TGG_830	sas
TGG_831	NA
TGG_832	afr
TGG_833	afr
TGG_834	afr
TGG_835	NA
TGG_836	sas
TGG_837	NA
TGG_838	sas
TGG_839	NA
TGG_840	sas
TGG_841	NA
TGG_842	sas
TGG_843	sas
TGG_844	sas
TGG_845	afr
TGG_846	afr
TGG_847	NA
TGG_848	afr
TGG_849	afr
TGG_850	NA
TGG_851	sas
TGG_852	NA
TGG_853	NA
TGG_854	sas
TGG_855	sas
TGG_856	sas
TGG_857	afr
TGG_858	NA
TGG_859	afr
TGG_860	afr
TGG_861	NA
TGG_862	afr
TGG_863	afr
TGG_864	NA
TGG_865	afr
TGG_866	NA
TGG_867	NA
TGG_868	NA
TGG_869	sas
TGG_870	sas
TGG_871	sas
TGG_872	afr
TGG_873	afr
TGG_874	afr
TGG_875	afr
TGG_876	NA
TGG_877	afr
TGG_878	afr
TGG_879	afr
TGG_880	afr
TGG_881	afr
TGG_882	afr
TGG_883	afr
TGG_884	afr
TGG_885	afr
TGG_886	afr
TGG_887	afr
TGG_888	afr
TGG_889	afr
TGG_890	afr
TGG_891	NA
TGG_892	afr
TGG_893	afr
TGG_894	NA
TGG_895	afr
TGG_896	NA
TGG_897	NA
TGG_898	afr
TGG_899	afr
TGG_900	NA
TGG_901	NA
TGG_902	afr
TGG_903	afr
TGG_904	afr
TGG_905	afr
TGG_906	afr
TGG_907	afr
TGG_908	NA
TGG_909	NA
TGG_910	afr
TGG_911	afr
TGG_912	NA
TGG_913	afr
TGG_914	afr
TGG_915	afr
TGG_916	NA
TGG_917	NA
TGG_918	afr
TGG_919	NA
TGG_920	NA
TGG_921	afr
TGG_922	NA
TGG_923	NA
TGG_924	sas
TGG_925	NA
TGG_926	sas
TGG_927	afr
TGG_928	afr
TGG_929	afr
TGG_930	afr
TGG_931	NA
TGG_932	NA
TGG_933	afr
TGG_934	afr
TGG_935	NA
TGG_936	afr
TGG_937	NA
TGG_938	afr
TGG_939	NA
TGG_940	afr
TGG_941	afr
TGG_942	afr
TGG_943	afr
TGG_944	NA
TGG_945	afr
TGG_946	NA
TGG_947	afr
TGG_948	NA
TGG_949	afr
TGG_950	afr
TGG_951	afr
TGG_952	afr
TGG_953	NA
TGG_954	afr
TGG_955	afr
TGG_956	NA
TGG_957	NA
TGG_958	afr
TGG_959	afr
TGG_960	afr
TGG_961	afr
TGG_962	afr
TGG_963	afr
TGG_964	afr
TGG_965	afr
TGG_966	afr
TGG_967	afr
TGG_968	afr
TGG_969	NA
TGG_970	NA
TGG_971	NA
TGG_972	afr
TGG_973	afr
TGG_974	afr
TGG_975	afr
TGG_976	NA
TGG_977	afr
TGG_978	NA
TGG_979	NA
TGG_980	NA
TGG_981	afr
TGG_982	NA
TGG_983	afr
TGG_984	afr
TGG_985	afr
TGG_986	afr
TGG_987	afr
TGG_988	NA
TGG_989	afr
TGG_990	NA
TGG_991	NA
TGG_992	afr
TGG_993	afr
TGG_994	NA
TGG_995	afr
TGG_996	afr
TGG_997	afr
TGG_998	afr
TGG_999	afr
TGG_1000	afr
TGG_1001	NA
TGG_1002	NA
TGG_1003	NA
TGG_1004	NA
TGG_1005	afr
TGG_1006	NA
TGG_1007	afr
TGG_1008	afr
TGG_1009	afr
TGG_1010	afr
TGG_1011	afr
TGG_1012	afr
TGG_1013	afr
TGG_1014	afr
TGG_1015	afr
TGG_1016	NA
TGG_1017	afr
TGG_1018	NA
TGG_1019	NA
TGG_1020	afr
TGG_1021	NA
TGG_1022	NA
TGG_1023	afr
TGG_1024	NA
TGG_1025	afr
TGG_1026	afr
TGG_1027	afr
TGG_1028	afr
TGG_1029	afr
TGG_1030	NA
TGG_1031	afr
TGG_1032	afr
TGG_1033	afr
TGG_1034	afr
TGG_1035	afr
TGG_1036	NA
TGG_1037	afr
TGG_1038	afr
TGG_1039	NA
TGG_1040	NA
TGG_1041	afr
TGG_1042	NA
TGG_1043	afr
TGG_1044	afr
TGG_1045	NA
TGG_1046	afr
TGG_1047	afr
TGG_1048	afr
TGG_1049	NA
TGG_1050	NA
TGG_1051	afr
TGG_1052	afr
TGG_1053	afr
TGG_1054	afr
TGG_1055	NA
TGG_1056	afr
TGG_1057	NA
TGG_1058	afr
TGG_1059	afr
TGG_1060	NA
TGG_1061	NA
TGG_1062	afr
TGG_1063	afr
TGG_1064	afr
TGG_1065	afr
TGG_1066	NA
TGG_1067	afr
TGG_1068	afr
TGG_1069	afr
TGG_1070	sas
TGG_1071	sas
TGG_1072	NA
TGG_1073	sas
TGG_1074	NA
TGG_1075	afr
TGG_1076	NA
TGG_1077	NA
TGG_1078	afr
TGG_1079	afr
TGG_1080	NA
TGG_1081	afr
TGG_1082	afr
TGG_1083	NA
TGG_1084	afr
TGG_1085	afr
TGG_1086	afr
TGG_1087	NA
TGG_1088	afr
TGG_1089	afr
TGG_1090	afr
TGG_1091	afr
TGG_1092	afr
TGG_1093	afr
TGG_1094	NA
TGG_1095	sas
TGG_1096	NA
TGG_1097	sas
TGG_1098	sas
TGG_1099	sas
TGG_1100	sas
TGG_1101	sas
TGG_1102	sas
TGG_1103	sas
TGG_1104	sas
TGG_1105	sas
TGG_1106	sas
TGG_1107	sas
TGG_1108	NA
TGG_1109	sas
TGG_1110	NA
TGG_1111	sas
TGG_1112	sas
TGG_1113	sas
TGG_1114	NA
TGG_1115	NA
TGG_1116	sas
TGG_1117	sas
TGG_1118	sas
TGG_1119	NA
TGG_1120	sas
TGG_1121	NA
TGG_1122	NA
TGG_1123	NA
TGG_1124	sas
TGG_1125	sas
TGG_1126	sas
TGG_1127	sas
TGG_1128	sas
TGG_1129	sas
TGG_1130	sas
TGG_1131	NA
TGG_1132	NA
TGG_1133	sas
TGG_1134	sas
TGG_1135	NA
TGG_1136	NA
TGG_1137	sas
TGG_1138	NA
TGG_1139	sas
TGG_1140	sas
TGG_1141	sas
TGG_1142	NA
TGG_1143	NA
TGG_1144	sas
TGG_1145	NA
TGG_1146	sas
TGG_1147	sas
TGG_1148	NA
TGG_1149	sas
TGG_1150	sas
TGG_1151	sas
TGG_1152	sas
TGG_1153	sas
TGG_1154	sas
TGG_1155	sas
TGG_1156	NA
TGG_1157	sas
TGG_1158	NA
TGG_1159	NA
TGG_1160	sas
TGG_1161	NA
TGG_1162	NA
TGG_1163	sas
TGG_1164	NA
TGG_1165	NA
TGG_1166	sas
TGG_1167	sas
TGG_1168	sas
TGG_1169	sas
TGG_1170	sas
TGG_1171	sas
TGG_1172	sas
TGG_1173	NA
TGG_1174	NA
TGG_1175	sas
TGG_1176	sas
TGG_1177	sas
TGG_1178	sas
TGG_1179	NA
TGG_1180	sas
TGG_1181	sas
TGG_1182	sas
TGG_1183	sas
TGG_1184	sas
TGG_1185	NA
TGG_1186	NA
TGG_1187	sas
TGG_1188	sas
TGG_1189	sas
TGG_1190	sas
TGG_1191	sas
TGG_1192	sas
TGG_1193	sas
TGG_1194	NA
TGG_1195	sas
TGG_1196	sas
TGG_1197	NA
TGG_1198	sas
TGG_1199	sas
TGG_1200	NA
TGG_1201	NA
TGG_1202	sas
TGG_1203	NA
TGG_1204	NA
TGG_1205	NA
TGG_1206	sas
TGG_1207	sas
TGG_1208	NA
TGG_1209	NA
TGG_1210	sas
TGG_1211	NA
TGG_1212	sas
TGG_1213	NA
TGG_1214	NA
TGG_1215	NA
TGG_1216	sas
TGG_1217	sas
TGG_1218	sas
TGG_1219	NA
TGG_1220	NA
TGG_1221	NA
TGG_1222	NA
TGG_1223	NA
TGG_1224	sas
TGG_1225	sas
TGG_1226	sas
TGG_1227	sas
TGG_1228	NA
TGG_1229	sas
TGG_1230	NA
TGG_1231	sas
TGG_1232	NA
TGG_1233	NA
TGG_1234	sas
TGG_1235	sas
TGG_1236	sas
TGG_1237	sas
TGG_1238	sas
TGG_1239	sas
TGG_1240	NA
TGG_1241	sas
TGG_1242	NA
TGG_1243	sas
TGG_1244	sas
TGG_1245	sas
TGG_1246	sas
TGG_1247	sas
TGG_1248	NA
TGG_1249	sas
TGG_1250	NA
TGG_1251	sas
TGG_1252	NA
TGG_1253	sas
TGG_1254	sas
TGG_1255	sas
TGG_1256	NA
TGG_1257	sas
TGG_1258	NA
TGG_1259	NA
TGG_1260	sas
TGG_1261	sas
TGG_1262	sas
TGG_1263	sas
TGG_1264	sas
TGG_1265	NA
TGG_1266	NA
TGG_1267	sas
TGG_1268	NA
TGG_1269	NA
TGG_1270	sas
TGG_1271	sas
TGG_1272	sas
TGG_1273	sas
TGG_1274	sas
TGG_1275	sas
TGG_1276	NA
TGG_1277	sas
TGG_1278	sas
TGG_1279	NA
TGG_1280	NA
TGG_1281	sas
TGG_1282	sas
TGG_1283	sas
TGG_1284	sas
TGG_1285	NA
TGG_1286	NA
TGG_1287	sas
TGG_1288	sas
TGG_1289	sas
TGG_1290	NA
TGG_1291	sas
TGG_1292	sas
TGG_1293	sas
TGG_1294	sas
TGG_1295	sas
TGG_1296	sas
TGG_1297	sas
TGG_1298	sas
TGG_1299	sas
TGG_1300	sas
TGG_1301	NA
TGG_1302	sas
TGG_1303	sas
TGG_1304	NA
TGG_1305	NA
TGG_1306	sas
TGG_1307	NA
TGG_1308	NA
TGG_1309	sas
TGG_1310	NA
TGG_1311	NA
TGG_1312	sas
TGG_1313	NA
TGG_1314	sas
TGG_1315	sas
TGG_1316	NA
TGG_1317	sas
TGG_1318	NA
TGG_1319	sas
TGG_1320	sas
TGG_1321	NA
TGG_1322	sas
TGG_1323	sas
TGG_1324	sas
TGG_1325	NA
TGG_1326	sas
TGG_1327	sas
TGG_1328	NA
TGG_1329	sas
TGG_1330	sas
TGG_1331	sas
TGG_1332	sas
TGG_1333	sas
TGG_1334	sas
TGG_1335	sas
TGG_1336	sas
TGG_1337	NA
TGG_1338	NA
TGG_1339	sas
TGG_1340	sas
TGG_1341	sas
TGG_1342	sas
TGG_1343	NA
TGG_1344	sas
TGG_1345	sas
TGG_1346	sas
TGG_1347	sas
TGG_1348	NA
TGG_1349	sas
TGG_1350	NA
TGG_1351	sas
TGG_1352	sas
TGG_1353	sas
TGG_1354	sas
TGG_1355	sas
TGG_1356	nfe
TGG_1357	nfe
TGG_1358	nfe
TGG_1359	nfe
TGG_1360	NA
TGG_1361	NA
TGG_1362	nfe
TGG_1363	nfe
TGG_1364	nfe
TGG_1365	nfe
TGG_1366	nfe
TGG_1367	nfe
TGG_1368	NA
TGG_1369	nfe
TGG_1370	nfe
TGG_1371	nfe
TGG_1372	NA
TGG_1373	nfe
TGG_1374	NA
TGG_1375	NA
TGG_1376	NA
TGG_1377	nfe
TGG_1378	nfe
TGG_1379	NA
TGG_1380	nfe
TGG_1381	nfe
TGG_1382	nfe
TGG_1383	nfe
TGG_1384	nfe
TGG_1385	nfe
TGG_1386	nfe
TGG_1387	NA
TGG_1388	NA
TGG_1389	nfe
TGG_1390	NA
TGG_1391	nfe
TGG_1392	nfe
TGG_1393	NA
TGG_1394	NA
TGG_1395	nfe
TGG_1396	nfe
TGG_1397	NA
TGG_1398	nfe
TGG_1399	nfe
TGG_1400	NA
TGG_1401	nfe
TGG_1402	NA
TGG_1403	NA
TGG_1404	nfe
TGG_1405	nfe
TGG_1406	nfe
TGG_1407	nfe
TGG_1408	nfe
TGG_1409	nfe
TGG_1410	NA
TGG_1411	NA
TGG_1412	NA
TGG_1413	nfe
TGG_1414	nfe
TGG_1415	nfe
TGG_1416	nfe
TGG_1417	NA
TGG_1418	NA
TGG_1419	NA
TGG_1420	nfe
TGG_1421	NA
TGG_1422	NA
TGG_1423	nfe
TGG_1424	nfe
TGG_1425	nfe
TGG_1426	nfe
TGG_1427	nfe
TGG_1428	NA
TGG_1429	nfe
TGG_1430	NA
TGG_1431	NA
TGG_1432	NA
TGG_1433	NA
TGG_1434	nfe
TGG_1435	nfe
TGG_1436	NA
TGG_1437	NA
TGG_1438	nfe
TGG_1439	afr
TGG_1440	afr
TGG_1441	afr
TGG_1442	afr
TGG_1443	afr
TGG_1444	afr
TGG_1445	afr
TGG_1446	NA
TGG_1447	NA
TGG_1448	NA
TGG_1449	afr
TGG_1450	NA
TGG_1451	eas
TGG_1452	eas
TGG_1453	eas
TGG_1454	NA
TGG_1455	eas
TGG_1456	NA
TGG_1457	eas
TGG_1458	eas
TGG_1459	NA
TGG_1460	eas
TGG_1461	NA
TGG_1462	eas
TGG_1463	eas
TGG_1464	eas
TGG_1465	eas
TGG_1466	eas
TGG_1467	eas
TGG_1468	eas
TGG_1469	eas
TGG_1470	eas
TGG_1471	eas
TGG_1472	eas
TGG_1473	NA
TGG_1474	eas
TGG_1475	NA
TGG_1476	eas
TGG_1477	eas
TGG_1478	eas
TGG_1479	eas
TGG_1480	eas
TGG_1481	eas
TGG_1482	NA
